rn_number,permit_number,publish_date,relative_file_location
RN102871654,92415L001,2-26-2013,data/MAERT/RN102871654_92415L001_2-26-2013_1711391444.pdf
RN101947265,20989B,3-3-1994,data/MAERT/RN101947265_20989B_3-3-1994_1713116665.pdf
RN102523107,9395,1-24-2020,data/MAERT/RN102523107_9395_1-24-2020_1712533129.pdf
RN100874643,41566,5-26-2009,data/MAERT/RN100874643_41566_5-26-2009_1713242336.pdf
RN100219187,897,12-11-2006,data/MAERT/RN100219187_897_12-11-2006_1712814332.pdf
RN102315827,6994,6-8-1996,data/MAERT/RN102315827_6994_6-8-1996_1713488348.pdf
RN100210665,20289,12-27-2011,data/MAERT/RN100210665_20289_12-27-2011_1711947185.pdf
RN102895745,4308A,4-15-1997,data/MAERT/RN102895745_4308A_4-15-1997_1713015801.pdf
RN100218973,107518,10-6-2020,data/MAERT/RN100218973_107518_10-6-2020_1711191859.pdf
RN101514164,7989,2-2-1994,data/MAERT/RN101514164_7989_2-2-1994_1711190918.pdf
RN100222512,144543,11-9-2018,data/MAERT/RN100222512_144543_11-9-2018_1712326254.pdf
RN100219310,19637,4-16-2006,data/MAERT/RN100219310_19637_4-16-2006_1711340378.pdf
RN105348007,84053,5-21-2021,data/MAERT/RN105348007_84053_5-21-2021_1713015413.pdf
RN102181526,6141A,12-13-2005,data/MAERT/RN102181526_6141A_12-13-2005_1711900716.pdf
RN106071046,115629,12-22-2016,data/MAERT/RN106071046_115629_12-22-2016_1711946397.pdf
RN100217744,1037,6-19-2015,data/MAERT/RN100217744_1037_6-19-2015_1711163998.pdf
RN105793871,91854,1-11-2013,data/MAERT/RN105793871_91854_1-11-2013_1713227899.pdf
RN102834249,252S,4-2-1999,data/MAERT/RN102834249_252S_4-2-1999_1711277562.pdf
RN100897362,43009,2-28-2024,data/MAERT/RN100897362_43009_2-28-2024_1711360674.pdf
RN101379287,37979,8-29-2007,data/MAERT/RN101379287_37979_8-29-2007_1712526907.pdf
RN102607694,43931,10-31-2012,data/MAERT/RN102607694_43931_10-31-2012_1712094005.pdf
RN100213016,93546,5-24-2018,data/MAERT/RN100213016_93546_5-24-2018_1713065146.pdf
RN100215177,2782,3-19-2007,data/MAERT/RN100215177_2782_3-19-2007_1713235522.pdf
RN111114682,162986L001,4-12-2021,data/MAERT/RN111114682_162986L001_4-12-2021_1712149361.pdf
RN100951623,1824,7-13-2006,data/MAERT/RN100951623_1824_7-13-2006_1711974057.pdf
RN100211903,8758,5-17-2013,data/MAERT/RN100211903_8758_5-17-2013_1712289445.pdf
RN100853191,25445,2-25-2002,data/MAERT/RN100853191_25445_2-25-2002_1712813047.pdf
RN105473581,84289,8-5-2010,data/MAERT/RN105473581_84289_8-5-2010_1713847308.pdf
RN100219005,4274,6-22-1994,data/MAERT/RN100219005_4274_6-22-1994_1712357727.pdf
